stn,habitat,L,w,r_width,elev,S_TP,S_TN,S_pH,S_TOC,S_moist,gr,vcs,cs,ms,fs,vfs,sc
CP2,Pool,13.86,3.28,4.03,622,0.899,27.24,8.22,2.24,15.79,31.44,26.27,17.71,4.75,1.8,0.74,0.55
CP3,Pool,11.2,2.46,6.53,621,0.691,76.96,8.6,2.79,11.86,17.01,5.43,3.26,2.58,1.53,0.65,0.64
CP4,Pool,11.7,4.67,6.67,512,1.817,92.11,8.25,6.36,123.09,7.36,10.09,8.62,5.89,10.45,15.04,29.48
CP5,Pool,37.084,7.917,11.51,510,1.347,34.19,8.35,1.41,36.92,29.97,27.01,9.67,3.06,2.82,2.13,3.46
CP6,Pool,24.829,6.92,11.86,509,1.028,28.87,8.2,1.96,25.06,16.33,8.98,10.75,13.38,16.8,11.16,6.35
CP7,Pool,15.243,4.326,7.79,428,1.238,11.72,8.94,0.87,17.42,13.8,22.37,29.57,14.18,9.19,2.42,2.11
CP8,Pool,17.376,7.167,21.81,428,1.088,49.23,8.8,0.59,20.54,14.57,29.23,20.75,12.8,11.51,4.05,3.3
CP9,Pool,15.31,5.529,10.12,427,0.917,20.33,8.7,0.59,23.14,15.81,17.9,22.98,2.3,12.52,3.25,2.57
BP1,Pool,67.383,12.974,44.95,617,1.224,42.77,8.37,0.59,23.88,9.28,16.82,25.59,21.66,12.72,4.77,4.03
BP3,Pool,79.129,19.462,27.5,604,1.104,74.81,8.4,2.79,18.05,21.07,20.24,17.42,8.64,4.43,1.51,1.43
BP6,Pool,19.3,6.89,20.6,533,0.966,58.77,8.61,0.32,22.24,5.29,34.3,47.61,8.29,1.96,0.57,0.5
BP7,Pool,47.526,8.993,45.82,443,1.379,121.77,7.97,0.87,28.44,0.32,4.91,58.08,22.05,7.88,1.84,2.67
BP8,Pool,85.594,10.214,142.1,441,0.702,63.55,7.92,1.96,21.63,3.73,28.31,58.48,5.54,0.8,0.63,1.27
BP9,Pool,106.252,18.652,28.26,437,0.307,26.23,8.27,1.96,18.43,12.89,21.11,39.96,7.26,1.33,0.65,1.04
JP1,Pool,86.949,13.887,15.24,1319,0.359,8.04,8.74,0.59,12.76,16.26,6.38,4.1,2,2.11,3.52,16.73
JP2,Pool,57.388,11.947,14.76,1316,0.289,8,8.95,0.04,4.14,0.83,0.19,0.17,0.21,0.63,0.81,1.66
JP3,Pool,75.422,15.927,18.04,1315,0.341,17.03,8.48,0.87,14.29,7.68,3.93,3.62,2.83,3.86,6.73,26.69
